step,rl_mean,rl_std,rl_ema,baseline_mean,baseline_std,baseline_ema,pid_mean,pid_std,pid_ema
177,177.0,0.0,94.71339350148844,177.0,0.0,94.71339350148844,177.0,0.0,94.71339350148844
178,178.0,0.0,95.54625956647355,178.0,0.0,95.54625956647355,178.0,0.0,95.54625956647355
179,179.0,0.0,96.38079697080882,179.0,0.0,96.38079697080882,179.0,0.0,96.38079697080882
180,180.0,0.0,97.21698900110073,180.0,0.0,97.21698900110073,180.0,0.0,97.21698900110073
181,181.0,0.0,98.05481911108973,181.0,0.0,98.05481911108973,181.0,0.0,98.05481911108973
182,182.0,0.0,98.89427091997884,182.0,0.0,98.89427091997884,182.0,0.0,98.89427091997884
183,183.0,0.0,99.73532821077904,183.0,0.0,99.73532821077904,183.0,0.0,99.73532821077904
184,184.0,0.0,100.57797492867125,184.0,0.0,100.57797492867125,184.0,0.0,100.57797492867125
185,185.0,0.0,101.42219517938454,185.0,0.0,101.42219517938454,185.0,0.0,101.42219517938454
186,186.0,0.0,102.2679732275907,186.0,0.0,102.2679732275907,186.0,0.0,102.2679732275907
187,187.0,0.0,103.1152934953148,187.0,0.0,103.1152934953148,187.0,0.0,103.1152934953148
188,188.0,0.0,103.96414056036164,188.0,0.0,103.96414056036164,188.0,0.0,103.96414056036164
189,189.0,0.0,104.81449915475802,189.0,0.0,104.81449915475802,189.0,0.0,104.81449915475802
190,190.0,0.0,105.66635416321044,190.0,0.0,105.66635416321044,190.0,0.0,105.66635416321044
191,191.0,0.0,106.51969062157833,191.0,0.0,106.51969062157833,191.0,0.0,106.51969062157833
192,192.0,0.0,107.37449371536255,192.0,0.0,107.37449371536255,192.0,0.0,107.37449371536255
193,193.0,0.0,108.23074877820893,193.0,0.0,108.23074877820893,193.0,0.0,108.23074877820893
194,194.0,0.0,109.08844129042684,194.0,0.0,109.08844129042684,194.0,0.0,109.08844129042684
195,195.0,0.0,109.94755687752257,195.0,0.0,109.94755687752257,195.0,0.0,109.94755687752257
196,196.0,0.0,110.80808130874735,196.0,0.0,110.80808130874735,196.0,0.0,110.80808130874735
197,197.0,0.0,111.67000049565988,197.0,0.0,111.67000049565988,197.0,0.0,111.67000049565988
198,198.0,0.0,112.53330049070328,198.0,0.0,112.53330049070328,198.0,0.0,112.53330049070328
199,199.0,0.0,113.39796748579624,199.0,0.0,113.39796748579624,199.0,0.0,113.39796748579624
200,200.0,0.0,114.26398781093827,200.0,0.0,114.26398781093827,200.0,0.0,114.26398781093827
201,201.0,0.0,115.1313479328289,201.0,0.0,115.1313479328289,201.0,0.0,115.1313479328289
202,202.0,0.0,116.0000344535006,202.0,0.0,116.0000344535006,202.0,0.0,116.0000344535006
203,203.0,0.0,116.8700341089656,203.0,0.0,116.8700341089656,203.0,0.0,116.8700341089656
204,204.0,0.0,117.74133376787594,204.0,0.0,117.74133376787594,204.0,0.0,117.74133376787594
205,205.0,0.0,118.61392043019718,205.0,0.0,118.61392043019718,205.0,0.0,118.61392043019718
206,206.0,0.0,119.48778122589522,206.0,0.0,119.48778122589522,206.0,0.0,119.48778122589522
207,207.0,0.0,120.36290341363627,207.0,0.0,120.36290341363627,207.0,0.0,120.36290341363627
208,208.0,0.0,121.2392743794999,208.0,0.0,121.2392743794999,208.0,0.0,121.2392743794999
209,209.0,0.0,122.11688163570491,209.0,0.0,122.11688163570491,209.0,0.0,122.11688163570491
210,210.0,0.0,122.99571281934787,210.0,0.0,122.99571281934787,210.0,0.0,122.99571281934787
211,211.0,0.0,123.8757556911544,211.0,0.0,123.8757556911544,211.0,0.0,123.8757556911544
212,212.0,0.0,124.75699813424285,212.0,0.0,124.75699813424285,212.0,0.0,124.75699813424285
213,213.0,0.0,125.63942815290042,213.0,0.0,125.63942815290042,213.0,0.0,125.63942815290042
214,214.0,0.0,126.52303387137141,214.0,0.0,126.52303387137141,214.0,0.0,126.52303387137141
215,215.0,0.0,127.4078035326577,215.0,0.0,127.4078035326577,215.0,0.0,127.4078035326577
216,216.0,0.0,128.2937254973311,216.0,0.0,128.2937254973311,216.0,0.0,128.2937254973311
217,217.0,0.0,129.18078824235778,217.0,0.0,129.18078824235778,217.0,0.0,129.18078824235778
218,218.0,0.0,130.0689803599342,218.0,0.0,130.0689803599342,218.0,0.0,130.0689803599342
219,219.0,0.0,130.95829055633484,219.0,0.0,130.95829055633484,219.0,0.0,130.95829055633484
220,220.0,0.0,131.84870765077147,220.0,0.0,131.84870765077147,220.0,0.0,131.84870765077147
221,221.0,0.0,132.74022057426376,221.0,0.0,132.74022057426376,221.0,0.0,132.74022057426376
222,222.0,0.0,133.63281836852113,222.0,0.0,133.63281836852113,222.0,0.0,133.63281836852113
223,223.0,0.0,134.5264901848359,223.0,0.0,134.5264901848359,223.0,0.0,134.5264901848359
224,224.0,0.0,135.42122528298754,224.0,0.0,135.42122528298754,224.0,0.0,135.42122528298754
225,225.0,0.0,136.31701303015765,225.0,0.0,136.31701303015765,225.0,0.0,136.31701303015765
226,226.0,0.0,137.21384289985608,226.0,0.0,137.21384289985608,226.0,0.0,137.21384289985608
227,227.0,0.0,138.11170447085752,227.0,0.0,138.11170447085752,227.0,0.0,138.11170447085752
